Feature,MI Score
Init Fwd Win Byts,0.4964098979983367
Fwd IAT Tot,0.3585269649132887
Fwd IAT Max,0.35712396815134184
Dst Port,0.35602926866227325
rn,0.351486458024846
Fwd IAT Mean,0.34999967827001033
Fwd Header Len,0.33932265650618976
Flow IAT Max,0.3328367334262632
Flow Duration,0.31821660782355177
Fwd Pkts/s,0.3110707731547384
TotLen Fwd Pkts,0.3073783050713048
Subflow Fwd Byts,0.3068531858765693
Fwd Pkt Len Mean,0.3048908559314516
Fwd Seg Size Avg,0.30464645626102405
Flow IAT Mean,0.3035751756529226
Fwd Pkt Len Max,0.3034311832840364
Pkt Len Max,0.29863003765674123
Flow Pkts/s,0.2986082070811418
Pkt Len Mean,0.29386834228254655
Fwd IAT Min,0.29351064130809257
Bwd Seg Size Avg,0.2891270683315128
Pkt Size Avg,0.2883221372300122
Bwd Pkt Len Mean,0.2882129096610031
Bwd Pkt Len Max,0.28686679861935716
TotLen Bwd Pkts,0.2859423163766821
Subflow Bwd Byts,0.285725085589839
Pkt Len Std,0.28559362406508026
Pkt Len Var,0.2851759324706473
Flow IAT Min,0.26252422098132056
Fwd Seg Size Min,0.25428122107238926
Fwd Pkt Len Std,0.23836098931789995
Bwd Pkt Len Std,0.23295798002286472
Bwd Pkts/s,0.22919366243332107
Bwd Header Len,0.22477874008057475
Init Bwd Win Byts,0.21760449047958486
Tot Bwd Pkts,0.19527725877334623
Subflow Bwd Pkts,0.1946326007029091
Flow Byts/s,0.19142427162453624
Tot Fwd Pkts,0.17693912810149848
Subflow Fwd Pkts,0.17688543663374423
Flow IAT Std,0.17473547294343938
Bwd IAT Tot,0.15986181528399945
Bwd IAT Max,0.1580056843172637
Fwd IAT Std,0.15754304265187624
Bwd IAT Mean,0.14429962621056713
Bwd IAT Std,0.14348483898729358
Bwd IAT Min,0.12372239250738737
Protocol,0.12197058404456107
Fwd Act Data Pkts,0.09785005440670735
ACK Flag Cnt,0.08442054410070043
PSH Flag Cnt,0.07792730384189173
Idle Max,0.07449783263559118
Idle Mean,0.07172867938532379
Idle Min,0.07123091184587271
Fwd Pkt Len Min,0.05688021773894647
Pkt Len Min,0.05561128496706291
Bwd Pkt Len Min,0.04818232481688023
Down/Up Ratio,0.044701576243828756
RST Flag Cnt,0.03621143542696048
ECE Flag Cnt,0.036066860278469504
Active Min,0.02415209154484499
Active Max,0.02369128444131796
Active Mean,0.02333057301996222
Idle Std,0.016661348255299524
Active Std,0.012728990247432126
Fwd PSH Flags,0.009972296123394342
SYN Flag Cnt,0.008545765362637958
URG Flag Cnt,0.007542553706597843
FIN Flag Cnt,0.0007064331926378564
Fwd Pkts/b Avg,0.0004108112885010673
CWE Flag Count,0.00040432942115309345
Fwd URG Flags,0.00011959811666950593
Fwd Byts/b Avg,0.00011156710524184987
Bwd Pkts/b Avg,5.985720541046291e-05
Bwd Byts/b Avg,4.874553909117729e-05
Bwd PSH Flags,0.0
Bwd Blk Rate Avg,0.0
Fwd Blk Rate Avg,0.0
Bwd URG Flags,0.0
